     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/24/2016-12/30/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,                                                                                    
R001,WHITEHALL STREET              ,00061824,00001886,00000284,00000814,00000088,00038755,00019867,00000000,00000000,00000000,00000000,00000553,00000574,00000237,00002642,00000825,00000312,00000000,00001734,00000000,00000001,00000000,00001125,00000000,                                                                                                                      
R003,CYPRESS HILLS                 ,00002620,00000174,00000018,00000033,00000000,00002063,00001014,00000000,00000000,00000000,00000000,00000014,00000045,00000004,00000093,00000007,00000005,00000000,00000022,00000000,00000000,00000000,00000275,00000000,                                                                                                                      
R004,75TH STREET & ELDERTS LANE    ,00006856,00000370,00000033,00000087,00000004,00004650,00003272,00000000,00000000,00000000,00000000,00000042,00000231,00000006,00000241,00000025,00000028,00000000,00000034,00000000,00000000,00000000,00000688,00000000,                                                                                                                      
R005,85TH STREET & FOREST PKWAY    ,00007999,00000499,00000039,00000155,00000001,00004850,00004105,00000000,00000000,00000000,00000000,00000068,00000186,00000000,00000260,00000045,00000059,00000000,00000066,00000000,00000000,00000000,00000565,00000000,                                                                                                                      
R006,WOODHAVEN BOULEVARD           ,00007519,00000478,00000050,00000140,00000004,00006448,00004407,00000000,00000000,00000000,00000000,00000079,00000124,00000007,00000283,00000052,00000047,00000000,00000068,00000000,00000000,00000000,00000627,00000000,                                                                                                                      
R007,104TH STREET                  ,00005464,00000254,00000023,00000070,00000005,00003575,00002508,00000000,00000000,00000000,00000000,00000022,00000103,00000001,00000138,00000029,00000040,00000000,00000063,00000000,00000000,00000000,00000349,00000000,                                                                                                                      
R008,111TH STREET                  ,00004663,00000232,00000035,00000065,00000001,00003012,00001848,00000000,00000000,00000000,00000000,00000026,00000085,00000001,00000145,00000030,00000021,00000000,00000034,00000000,00000000,00000000,00000378,00000000,                                                                                                                      
R009,121ST STREET                  ,00004407,00000220,00000046,00000067,00000003,00003539,00002134,00000000,00000000,00000000,00000000,00000024,00000109,00000000,00000142,00000026,00000022,00000000,00000053,00000000,00000000,00000000,00000324,00000000,                                                                                                                      
R010,42ND STREET & 8TH AVENUE      ,00103616,00004125,00000391,00001069,00000120,00061400,00036649,00000000,00000001,00000000,00000000,00000733,00001117,00000112,00003734,00001355,00000778,00000000,00003080,00000000,00000000,00000000,00002254,00000000,                                                                                                                      
R011,42ND STREET & 8TH AVENUE      ,00187573,00008935,00000575,00001464,00000099,00050052,00050412,00000000,00000000,00000000,00000000,00001597,00003718,00000052,00004394,00003006,00001099,00000000,00003170,00000000,00000000,00000000,00001626,00000000,                                                                                                                      
R012,34TH STREET & 8TH AVENUE      ,00176517,00007271,00000521,00001411,00001951,00044573,00046999,00000000,00000000,00000000,00000000,00001567,00002581,00002481,00004975,00004059,00001199,00000000,00003698,00000000,00000000,00000000,00001947,00000000,                                                                                                                      
