,index,station,linename,traffic,join_station_line,lat,long,county_name,income2011
0,175,ATL AV-BARCLAY,BDNQR2345,41608.9450549,ATL AV-BARCLAY BDNQR2345,40.683928,-73.978412,Brooklyn,87875.0
1,175,ATL AV-BARCLAY,BDNQR2345,41608.9450549,ATL AV-BARCLAY BDNQR2345,40.664891,-73.922675,Brooklyn,27104.0
2,131,66 ST-LINCOLN,1,40710.6153846,66 ST-LINCOLN 1,40.75102,-73.990323,Manhattan,155278.0
3,131,66 ST-LINCOLN,1,40710.6153846,66 ST-LINCOLN 1,40.773457,-73.982004,Manhattan,142452.0
4,131,66 ST-LINCOLN,1,40710.6153846,66 ST-LINCOLN 1,40.767863,-73.963898,Manhattan,152353.0
5,82,28 ST,6,40149.8571429,28 ST 6,40.74018,-73.986006,Manhattan,98555.0
6,82,28 ST,6,40149.8571429,28 ST 6,40.743257,-73.983738,Manhattan,91431.0
7,440,SUTPHIN-ARCHER,EJZ,39479.6593407,SUTPHIN-ARCHER EJZ,40.831466,-73.86741,the Bronx,35795.0
8,440,SUTPHIN-ARCHER,EJZ,39479.6593407,SUTPHIN-ARCHER EJZ,40.700554,-73.807353,Queens,50417.0
9,440,SUTPHIN-ARCHER,EJZ,39479.6593407,SUTPHIN-ARCHER EJZ,40.701874,-73.801747,Queens,37184.0
10,116,51 ST,6,39458.8,51 ST 6,40.757059,-73.97157,Manhattan,98977.0
11,116,51 ST,6,39458.8,51 ST 6,40.744552,-73.948425,Queens,81731.0
12,148,8 AV,ACEL,39332.3626374,8 AV ACEL,40.731397,-73.982112,Manhattan,88595.0
13,148,8 AV,ACEL,39332.3626374,8 AV ACEL,40.714439,-73.94419,Brooklyn,67946.0
14,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.830177,-73.891482,the Bronx,17614.0
15,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.75283,-73.978917,Manhattan,131786.0
16,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.718155,-73.993452,Manhattan,42775.0
17,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.862608,-73.896662,the Bronx,26190.0
18,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.874902,-73.879267,the Bronx,38875.0
19,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.706911,-74.010494,Manhattan,125124.0
20,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.67953,-73.885716,Brooklyn,37634.0
21,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.711912,-73.940433,Brooklyn,59762.0
22,306,GRAND ST,BD,38733.8461538,GRAND ST BD,40.711065,-74.010644,Manhattan,114412.0
23,241,CHAMBERS ST,123,37228.9450549,CHAMBERS ST 123,40.715576,-74.009031,Manhattan,205192.0
24,241,CHAMBERS ST,123,37228.9450549,CHAMBERS ST 123,40.680695,-73.974748,Brooklyn,88036.0
25,241,CHAMBERS ST,123,37228.9450549,CHAMBERS ST 123,40.697649,-73.99306,Brooklyn,91250.0
26,241,CHAMBERS ST,123,37228.9450549,CHAMBERS ST 123,40.714992,-74.007739,Manhattan,205192.0
27,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.874308,-73.909795,Manhattan,34354.0
28,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.641379,-73.994188,Brooklyn,27355.0
29,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.721916,-73.844352,Queens,90286.0
30,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.651608,-73.975596,Brooklyn,78380.0
31,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.690142,-73.871633,Brooklyn,50643.0
32,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.706115,-73.895559,Queens,63617.0
33,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.704729,-73.902243,Queens,45273.0
34,24,14 ST,123FLM,37064.6373626,14 ST 123FLM,,,,
35,73,23 ST,CE,36725.2637363,23 ST CE,40.746483,-73.997142,Manhattan,114655.0
36,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.820819,-73.890442,the Bronx,21114.0
37,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.742405,-73.94811,Queens,81731.0
38,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.749095,-73.86912,Queens,40774.0
39,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.705341,-73.81186,Queens,41009.0
40,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.707062,-73.804332,Queens,37107.0
41,339,JUNCTION BLVD,7,36529.6043956,JUNCTION BLVD 7,40.59502,-73.95512,Brooklyn,41154.0
42,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.645046,-73.948684,Brooklyn,34019.0
43,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.713899,-74.003642,Manhattan,135573.0
44,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.867766,-73.897039,the Bronx,39816.0
45,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.873528,-73.889754,the Bronx,53795.0
46,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.80758,-73.918957,the Bronx,32875.0
47,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.644272,-73.964528,Brooklyn,78125.0
48,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.635468,-74.023313,Brooklyn,40758.0
49,155,86 ST,1,35486.8901099,86 ST 1,40.788272,-73.976083,Manhattan,133427.0
50,155,86 ST,1,35486.8901099,86 ST 1,40.779661,-73.955302,Manhattan,104514.0
51,155,86 ST,1,35486.8901099,86 ST 1,40.679828,-73.850401,Queens,56743.0
52,155,86 ST,1,35486.8901099,86 ST 1,40.679361,-73.860284,Queens,53678.0
53,155,86 ST,1,35486.8901099,86 ST 1,40.786769,-73.968448,Manhattan,103182.0
54,155,86 ST,1,35486.8901099,86 ST 1,40.592724,-73.978227,Brooklyn,43929.0
55,155,86 ST,1,35486.8901099,86 ST 1,40.623498,-74.028204,Brooklyn,53184.0
56,75,23 ST,NR,35453.2417582,23 ST NR,40.741208,-73.989639,Manhattan,120766.0
57,75,23 ST,NR,35453.2417582,23 ST NR,40.645619,-74.013688,Brooklyn,31649.0
58,26,14 ST,FLM123,35431.7582418,14 ST FLM123,40.837306,-73.887287,the Bronx,18261.0
59,444,THIRTY THIRD ST,1,35231.1428571,THIRTY THIRD ST 1,40.641314,-73.963996,Brooklyn,50408.0
60,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.737826,-74.000201,Manhattan,94292.0
61,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.592897,-73.775715,Queens,18370.0
62,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.741046,-74.001284,Manhattan,94292.0
63,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.825581,-73.943444,Manhattan,38786.0
64,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.738678,-73.995632,Manhattan,150110.0
65,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.73955,-74.002389,Manhattan,85859.0
66,25,14 ST,ACEL,33754.4065934,14 ST ACEL,40.668527,-73.901765,Brooklyn,12288.0
67,312,GROVE STREET,1,33269.5164835,GROVE STREET 1,40.704629,-74.013502,Manhattan,114412.0
68,174,ATL AV-BARCLAY,2345BDNQR,33061.2527473,ATL AV-BARCLAY 2345BDNQR,,,,
69,404,PAVONIA/NEWPORT,1,32200.3186813,PAVONIA/NEWPORT 1,,,,
70,342,KINGS HWY,BQ,32149.1428571,KINGS HWY BQ,40.608835,-73.957769,Brooklyn,47135.0
71,342,KINGS HWY,BQ,32149.1428571,KINGS HWY BQ,40.867688,-73.892739,the Bronx,18610.0
72,342,KINGS HWY,BQ,32149.1428571,KINGS HWY BQ,40.603999,-73.972124,Brooklyn,51985.0
73,342,KINGS HWY,BQ,32149.1428571,KINGS HWY BQ,40.603212,-73.980199,Brooklyn,38225.0
74,62,2 AV,F,32018.1538462,2 AV F,40.604587,-73.998007,Brooklyn,30051.0
75,62,2 AV,F,32018.1538462,2 AV F,40.590266,-73.974051,Brooklyn,43929.0
76,62,2 AV,F,32018.1538462,2 AV F,40.596897,-73.973137,Brooklyn,35539.0
77,62,2 AV,F,32018.1538462,2 AV F,40.609041,-73.972904,Brooklyn,47083.0
78,62,2 AV,F,32018.1538462,2 AV F,40.624301,-73.975817,Brooklyn,44432.0
79,62,2 AV,F,32018.1538462,2 AV F,40.635389,-73.977914,Brooklyn,34313.0
80,62,2 AV,F,32018.1538462,2 AV F,40.667004,-73.981331,Brooklyn,104432.0
