,station,linename,date_time,traffic,date,join_station_line
0,1 AV,L,2016-03-26 04:00:00,3137.0,2016-03-26,1 AV L
563,103 ST,1,2016-03-26 05:00:00,279.0,2016-03-26,103 ST 1
1097,103 ST,6,2016-03-26 05:00:00,188.0,2016-03-26,103 ST 6
1631,103 ST,BC,2016-03-26 05:00:00,201.0,2016-03-26,103 ST BC
2177,103 ST-CORONA,7,2016-03-26 04:00:00,1504.0,2016-03-26,103 ST-CORONA 7
2736,104 ST,A,2016-03-26 04:00:00,45.0,2016-03-26,104 ST A
3282,104 ST,JZ,2016-03-26 04:00:00,134.0,2016-03-26,104 ST JZ
3827,110 ST,6,2016-03-26 04:00:00,962.0,2016-03-26,110 ST 6
4403,111 ST,7,2016-03-26 04:00:00,768.0,2016-03-26,111 ST 7
4950,111 ST,A,2016-03-26 05:00:00,5.0,2016-03-26,111 ST A
5503,111 ST,J,2016-03-26 04:00:00,96.0,2016-03-26,111 ST J
6050,116 ST,23,2016-03-26 05:00:00,404.0,2016-03-26,116 ST 23
6605,116 ST,6,2016-03-26 05:00:00,536.0,2016-03-26,116 ST 6
7170,116 ST,BC,2016-03-26 05:00:00,321.0,2016-03-26,116 ST BC
7726,116 ST-COLUMBIA,1,2016-03-26 05:00:00,301.0,2016-03-26,116 ST-COLUMBIA 1
8280,121 ST,JZ,2016-03-26 04:00:00,131.0,2016-03-26,121 ST JZ
8825,125 ST,1,2016-03-26 04:00:00,766.0,2016-03-26,125 ST 1
9378,125 ST,23,2016-03-26 05:00:00,506.0,2016-03-26,125 ST 23
9933,125 ST,456,2016-03-26 05:00:00,1173.0,2016-03-26,125 ST 456
10488,125 ST,ACBD,2016-03-26 04:00:00,2056.0,2016-03-26,125 ST ACBD
11051,135 ST,23,2016-03-26 04:00:00,823.0,2016-03-26,135 ST 23
11603,135 ST,BC,2016-03-26 05:00:00,219.0,2016-03-26,135 ST BC
12153,137 ST CITY COL,1,2016-03-26 05:00:00,795.0,2016-03-26,137 ST CITY COL 1
12703,138/GRAND CONC,45,2016-03-26 04:00:00,189.0,2016-03-26,138/GRAND CONC 45
13250,14 ST,123FLM,2016-03-26 04:00:00,2114.0,2016-03-26,14 ST 123FLM
13812,14 ST,ACEL,2016-03-26 05:00:00,847.0,2016-03-26,14 ST ACEL
14358,14 ST,FLM123,2016-03-26 04:00:00,1203.0,2016-03-26,14 ST FLM123
14915,14 ST-UNION SQ,456LNQR,2016-03-26 05:00:00,2355.0,2016-03-26,14 ST-UNION SQ 456LNQR
15526,14 ST-UNION SQ,LNQR456,2016-03-26 05:00:00,2428.0,2016-03-26,14 ST-UNION SQ LNQR456
16162,145 ST,1,2016-03-26 04:00:00,1034.0,2016-03-26,145 ST 1
16715,145 ST,3,2016-03-26 04:00:00,0.0,2016-03-26,145 ST 3
17260,145 ST,ABCD,2016-03-26 04:00:00,2375.0,2016-03-26,145 ST ABCD
17814,149/GRAND CONC,245,2016-03-26 04:00:00,806.0,2016-03-26,149/GRAND CONC 245
18373,14TH STREET,1,2016-03-26 04:40:53,184.0,2016-03-26,14TH STREET 1
23961,15 ST-PROSPECT,FG,2016-03-26 04:30:00,93.0,2016-03-26,15 ST-PROSPECT FG
24515,155 ST,BD,2016-03-26 05:00:00,167.0,2016-03-26,155 ST BD
25067,155 ST,C,2016-03-26 05:00:00,204.0,2016-03-26,155 ST C
25616,157 ST,1,2016-03-26 05:00:00,513.0,2016-03-26,157 ST 1
26173,161/YANKEE STAD,4BD,2016-03-26 04:22:00,269.0,2016-03-26,161/YANKEE STAD 4BD
26730,161/YANKEE STAD,BD4,2016-03-26 04:22:00,705.0,2016-03-26,161/YANKEE STAD BD4
27287,163 ST-AMSTERDM,C,2016-03-26 05:00:00,213.0,2016-03-26,163 ST-AMSTERDM C
